,City,Lat,Lon,Cloud,Humidity,MaxTemp,Windspeed
0,bugiri,0.5714,33.7417,97.0,42.0,84.94,7.47
1,sakaiminato,35.55,133.2333,75.0,100.0,55.4,6.91
2,castro,-24.7911,-50.0119,100.0,81.0,71.06,9.35
3,illoqqortoormiut,,,,,,
4,yellowknife,62.456,-114.3525,20.0,85.0,5.0,14.97
5,cambridge,43.3601,-80.3127,1.0,93.0,35.01,7.23
6,codrington,-38.2667,141.9667,100.0,78.0,62.35,9.13
7,leningradskiy,69.3833,178.4167,100.0,86.0,-14.82,2.46
8,fremont,37.5483,-121.9886,40.0,81.0,46.99,4.61
9,punta arenas,-53.15,-70.9167,40.0,70.0,44.6,18.41
10,itarantim,-15.6597,-40.0656,95.0,64.0,80.76,5.48
11,east london,-33.0153,27.9116,20.0,83.0,73.4,6.91
12,jamestown,42.097,-79.2353,1.0,63.0,23.0,1.66
13,mlonggo,-6.5333,110.7,40.0,79.0,84.2,4.61
14,viligili,,,,,,
15,distraccion,10.8969,-72.8861,68.0,69.0,77.68,4.61
16,ilulissat,69.2167,-51.1,75.0,63.0,19.4,5.75
17,asau,46.4333,26.4,87.0,47.0,37.0,0.89
18,puerto montt,-41.4698,-72.9447,40.0,100.0,48.2,3.44
19,lorengau,-2.0226,147.2712,100.0,72.0,83.03,5.55
20,wajid,3.8093,43.2471,0.0,38.0,91.63,14.99
21,kapaa,22.0752,-159.319,90.0,83.0,70.0,16.11
22,quebo,11.3333,-14.9333,0.0,11.0,101.08,6.17
23,touros,-5.1989,-35.4608,40.0,65.0,84.2,11.5
24,krasnovishersk,60.4078,57.082,100.0,95.0,26.87,6.26
25,mataura,-46.1927,168.8643,74.0,90.0,55.0,5.01
26,qaanaaq,77.484,-69.3632,82.0,96.0,-9.24,4.23
27,ushuaia,-54.8,-68.3,75.0,93.0,37.4,17.27
28,turukhansk,65.8167,87.9833,8.0,80.0,-10.46,10.42
29,taolanaro,,,,,,
30,richards bay,-28.783,32.0377,0.0,63.0,83.44,11.88
31,saint-philippe,-21.3585,55.7679,20.0,61.0,84.2,24.16
32,busselton,-33.65,115.3333,0.0,63.0,72.0,8.75
33,nushki,29.5542,66.0215,96.0,15.0,83.75,15.7
34,amderma,,,,,,
35,oranjemund,-28.55,16.4333,0.0,74.0,67.37,25.9
36,geraldton,-28.7667,114.6,5.0,73.0,75.2,12.66
37,bereznik,62.8551,42.7072,100.0,82.0,21.11,7.58
38,kirakira,-10.4544,161.9205,86.0,81.0,80.17,3.06
39,carnarvon,-24.8667,113.6333,0.0,78.0,82.4,8.05
40,barbar,,,,,,
41,xining,36.6167,101.7667,100.0,42.0,28.09,20.74
42,tasiilaq,65.6145,-37.6368,90.0,93.0,24.8,39.12
43,saleaula,,,,,,
44,longyearbyen,78.2186,15.6401,75.0,68.0,19.4,12.66
45,harnai,30.1005,67.9374,44.0,25.0,77.22,7.36
46,ponazyrevo,58.3578,46.3142,100.0,89.0,23.4,8.84
47,shakawe,-18.3667,21.85,74.0,43.0,85.48,6.55
48,nanortalik,60.1432,-45.2371,100.0,98.0,35.19,15.23
49,hithadhoo,-0.6,73.0833,100.0,72.0,82.27,8.88
50,saskylakh,71.9167,114.0833,100.0,100.0,-27.29,8.05
51,albany,42.6001,-73.9662,0.0,35.0,34.0,6.64
52,rikitea,-23.1203,-134.9692,100.0,75.0,79.66,8.59
53,khatanga,71.9667,102.5,70.0,97.0,-35.3,8.41
54,novikovo,51.1537,37.8879,100.0,67.0,35.04,5.06
55,namibe,-15.1961,12.1522,15.0,68.0,78.46,10.89
56,laguna,38.421,-121.4238,1.0,93.0,41.0,3.44
57,lebowakgomo,-24.2,29.5,40.0,50.0,77.0,11.5
58,igarka,67.4667,86.5833,0.0,87.0,-23.71,9.57
59,ponta do sol,32.6667,-17.1,1.0,57.0,61.0,5.01
60,vila franca do campo,37.7167,-25.4333,20.0,67.0,60.8,14.97
61,khasan,42.4308,130.6434,100.0,98.0,33.82,14.63
62,port blair,11.6667,92.75,24.0,63.0,81.9,5.06
63,cap malheureux,-19.9842,57.6142,0.0,80.0,82.0,5.01
64,hay river,60.8156,-115.7999,100.0,79.0,12.2,13.8
65,praia da vitoria,38.7333,-27.0667,40.0,67.0,62.01,13.96
66,kahului,20.8947,-156.47,1.0,88.0,69.8,15.12
67,hobart,-42.8794,147.3294,75.0,59.0,62.6,11.5
68,guerrero negro,27.9769,-114.0611,0.0,88.0,58.3,8.88
69,mabaruma,8.2,-59.7833,40.0,88.0,77.0,6.91
70,bowen,-20.0167,148.2333,75.0,94.0,77.0,10.36
71,merauke,-8.4667,140.3333,100.0,82.0,81.12,7.38
72,port lincoln,-34.7333,135.8667,1.0,66.0,70.34,14.36
73,chinhoyi,-17.3667,30.2,80.0,54.0,79.41,2.24
74,ferrandina,40.5012,16.4547,75.0,81.0,48.2,9.22
75,barrow,71.2906,-156.7887,1.0,63.0,-16.6,4.61
76,tabiauea,,,,,,
77,krutinka,56.0055,71.5113,100.0,94.0,33.22,13.49
78,juneau,58.3019,-134.4197,93.0,95.0,28.0,1.25
79,eenhana,-17.4667,16.3333,100.0,57.0,80.6,6.33
80,marrakesh,31.6315,-8.0083,75.0,48.0,60.8,13.8
81,attawapiskat,,,,,,
82,te anau,-45.4167,167.7167,63.0,96.0,48.43,2.42
83,gold coast,-28.0,153.4333,75.0,94.0,73.99,19.57
84,bage,-31.3314,-54.1069,0.0,73.0,75.2,16.11
85,kodiak,57.79,-152.4072,90.0,93.0,30.2,8.59
86,souillac,-20.5167,57.5167,75.0,78.0,82.4,10.36
87,bargal,,,,,,
88,champerico,14.3,-91.9167,0.0,83.0,75.2,3.42
89,cherskiy,68.75,161.3,0.0,90.0,-21.19,3.89
90,constitucion,-35.3333,-72.4167,20.0,65.0,60.51,4.59
91,whitianga,-36.8333,175.7,78.0,71.0,59.0,5.99
92,hualmay,-11.0964,-77.6139,85.0,67.0,72.75,4.41
93,bredasdorp,-34.5322,20.0403,55.0,60.0,69.8,13.8
94,kieta,-6.2167,155.6333,100.0,81.0,79.99,2.59
95,baykit,61.67,96.37,77.0,89.0,5.34,4.83
96,georgetown,5.4112,100.3354,20.0,51.0,86.0,9.22
97,ostrovnoy,68.0531,39.5131,89.0,87.0,21.96,23.09
98,ribeira grande,38.5167,-28.7,75.0,88.0,60.8,16.11
99,grave,51.759,5.7388,75.0,46.0,46.99,3.44
100,grand-santi,4.25,-54.3833,78.0,65.0,82.04,3.98
101,daru,-9.0763,143.2092,96.0,84.0,80.51,7.87
102,cape town,-33.9258,18.4232,20.0,60.0,71.01,25.32
103,bethel,41.3712,-73.414,0.0,46.0,35.01,4.25
104,mahebourg,-20.4081,57.7,75.0,78.0,82.4,10.36
105,belushya guba,,,,,,
106,kopyevo,,,,,,
107,victoria,22.2855,114.1577,0.0,83.0,77.0,3.74
108,yumen,40.2833,97.2,100.0,17.0,33.6,13.51
109,kavieng,-2.5744,150.7967,100.0,75.0,83.32,9.06
110,belmonte,-15.8631,-38.8828,75.0,69.0,82.4,5.75
111,upernavik,72.7868,-56.1549,89.0,94.0,4.95,12.08
112,bilibino,68.0546,166.4372,0.0,75.0,-22.88,0.49
113,kabanjahe,3.1001,98.4908,75.0,89.0,82.4,3.44
114,port elizabeth,-33.918,25.5701,90.0,88.0,69.8,4.61
115,bluff,-46.6,168.3333,82.0,90.0,55.0,5.01
116,cidreira,-30.1811,-50.2056,0.0,73.0,76.33,18.7
117,ouadda,8.0777,22.4007,96.0,37.0,91.63,2.35
118,nome,64.5011,-165.4064,1.0,60.0,3.2,16.11
119,tiksi,71.6872,128.8694,80.0,94.0,-25.31,2.19
120,ixtapa,20.7,-105.2,1.0,88.0,59.0,4.61
121,gat,31.61,34.7642,32.0,42.0,77.0,1.99
122,caraballeda,10.6112,-66.8522,20.0,83.0,77.0,2.3
123,puerto colombia,10.9878,-74.9547,40.0,94.0,75.2,3.44
124,jiexiu,37.0244,111.9125,87.0,35.0,39.81,12.15
125,akyab,20.15,92.9,100.0,73.0,79.63,8.93
126,ballina,-28.8667,153.5667,100.0,94.0,71.6,5.75
127,tacoronte,28.4769,-16.4102,40.0,77.0,61.0,17.27
128,beisfjord,68.3751,17.5988,90.0,93.0,33.8,3.44
129,bambanglipuro,-7.95,110.2833,100.0,84.0,79.38,4.85
130,faanui,-16.4833,-151.75,54.0,65.0,82.92,7.67
131,los llanos de aridane,28.6585,-17.9182,20.0,52.0,68.0,14.97
132,salinas,36.6777,-121.6555,1.0,87.0,46.4,3.44
133,hilo,19.7297,-155.09,90.0,83.0,68.0,4.61
134,porto franco,-6.3383,-47.3992,84.0,79.0,80.15,0.92
135,lianran,24.9227,102.485,0.0,28.0,70.0,13.42
136,walvis bay,-22.9575,14.5053,9.0,84.0,64.99,7.0
137,astoria,46.1879,-123.8313,90.0,93.0,44.6,12.66
138,ketchikan,55.3422,-131.6461,90.0,93.0,30.2,4.97
139,mar del plata,-38.0023,-57.5575,90.0,94.0,64.0,3.44
140,englewood,39.6478,-104.9878,100.0,60.0,42.01,1.01
141,iskateley,67.6803,53.1512,79.0,85.0,0.14,7.07
142,port alfred,-33.5906,26.891,55.0,79.0,75.61,16.22
143,moree,-29.4667,149.85,40.0,78.0,71.6,10.36
144,kalianget,-7.05,113.9333,78.0,80.0,81.34,7.36
145,vila velha,-20.3297,-40.2925,40.0,69.0,82.0,2.39
146,puerto penasco,31.3167,-113.5333,0.0,45.0,66.07,2.84
